wl	n
2.392251	3.698
2.393907	3.695
2.395563	3.691
2.397219	3.688
2.398874	3.684
2.400530	3.681
2.402186	3.677
2.403842	3.674
2.405498	3.671
2.407154	3.667
2.408809	3.664
2.410465	3.660
2.412121	3.657
2.413777	3.654
2.415433	3.650
2.417089	3.647
2.418744	3.644
2.420400	3.640
2.422056	3.637
2.423712	3.634
2.425368	3.630
2.427024	3.627
2.428679	3.624
2.430335	3.620
2.431991	3.617
2.433647	3.614
2.435303	3.610
2.436958	3.607
2.438614	3.604
2.440270	3.600
2.441926	3.597
2.443582	3.594
2.445238	3.591
2.446893	3.587
2.448549	3.584
2.450205	3.581
2.451861	3.578
2.453517	3.574
2.455173	3.571
2.456828	3.568
2.458484	3.565
2.460140	3.562
2.461796	3.558
2.463452	3.555
2.465108	3.552
2.466763	3.549
2.468419	3.546
2.470075	3.542
2.471731	3.539
2.473387	3.536
2.475043	3.533
2.476698	3.530
2.478354	3.527
2.480010	3.524
2.481666	3.520
2.483322	3.517
2.484977	3.514
2.486633	3.511
2.488289	3.508
2.489945	3.505
2.491601	3.502
2.493257	3.499
2.494912	3.496
2.496568	3.493
2.498224	3.490
2.499880	3.487
2.501536	3.484
2.503192	3.480
2.504847	3.477
2.506503	3.474
2.508159	3.471
2.509815	3.468
2.511471	3.465
2.513127	3.462
2.514782	3.459
2.516438	3.456
2.518094	3.453
2.519750	3.450
2.521406	3.447
2.523062	3.444
2.524717	3.442
2.526373	3.439
2.528029	3.436
2.529685	3.433
2.531341	3.430
2.532996	3.427
2.534652	3.424
2.536308	3.421
2.537964	3.418
2.539620	3.415
2.541276	3.412
2.542931	3.409
2.544587	3.407
2.546243	3.404
2.547899	3.401
2.549555	3.398
2.551211	3.395
2.552866	3.392
2.554522	3.389
2.556178	3.387
2.557834	3.384
2.559490	3.381
2.561146	3.378
2.562801	3.375
2.564457	3.373
2.566113	3.370
2.567769	3.367
2.569425	3.364
2.571081	3.361
2.572736	3.359
2.574392	3.356
2.576048	3.353
2.577704	3.350
2.579360	3.348
2.581016	3.345
2.582671	3.342
2.584327	3.340
2.585983	3.337
2.587639	3.334
2.589295	3.331
